"","Full SN Mask","NMvstri Submask","Total Use Voxels","Marijuana Use","Drug Use","Alcohol Use","Total Use","MLVS Incorrect","MLVS Correct","MLVS Contrast","MRVS Incorrect","MRVS Correct","MRVS Contrast","MLDS Incorrect","MLDS Correct","MLDS Contrast","MRDS Incorrect","MRDS Correct","MRDS Contrast","SLVS Incorrect","SLVS Correct","SLVS Contrast","SRVS Incorrect","SRVS Correct","SRVS Contrast","SLDS Incorrect","SLDS Correct","SLDS Contrast","SRDS Incorrect","SRDS Correct","SRDS Contrast"
"Full SN Mask",1,0.9049,0.9009,-0.4132,-0.3713,-0.2558,-0.0387,-0.1811,-0.3636,-0.1661,-0.2443,-0.3556,-0.142,-0.1266,-0.3657,-0.1448,-0.0293,-0.2679,-0.2129,0.094,-0.0405,-0.1299,-0.1904,-0.1749,0.0157,0.0365,-0.0488,-0.0934,-0.0106,-0.0461,-0.0377
"NMvstri Submask",0.9049,1,0.7654,-0.3492,-0.2839,-0.2038,0.0884,-0.1332,-0.362,-0.1996,-0.2397,-0.3697,-0.1625,-0.0316,-0.3212,-0.2187,0.007,-0.2383,-0.2217,0.1226,-0.0621,-0.1771,-0.1558,-0.1717,-0.0087,0.1589,0.0648,-0.1109,0.0345,-0.0059,-0.0398
"Total Use Voxels",0.9009,0.7654,1,-0.6668,-0.6103,-0.5437,-0.3405,-0.2676,-0.2886,-0.0417,-0.2552,-0.3732,-0.1503,-0.1918,-0.3431,-0.0519,-0.0325,-0.1854,-0.1354,0.0957,-0.0413,-0.1323,-0.1233,-0.1563,-0.0223,0.0699,-0.034,-0.1154,0.0423,-0.017,-0.059
"Marijuana Use",-0.4132,-0.3492,-0.6668,1,0.787,0.7178,0.6837,0.3239,0.2316,-0.046,0.2284,0.3969,0.2046,0.3018,0.2534,-0.1458,0.1931,0.0777,-0.1183,-0.1126,0.0202,0.1322,0.0512,0.1413,0.0666,-0.2329,-0.1154,0.1407,-0.134,-0.0782,0.0492
"Drug Use",-0.3713,-0.2839,-0.6103,0.787,1,0.6412,0.93,0.1382,0.2456,0.1006,0.1371,0.3439,0.2407,0.0791,0.2176,0.0819,-0.0488,0.0913,0.1299,0.0534,0.0035,-0.0518,0.2355,-0.012,-0.191,-0.0982,-0.1046,-4e-04,-0.0024,-0.0532,-0.0531
"Alcohol Use",-0.2558,-0.2038,-0.5437,0.7178,0.6412,1,0.588,0.4037,0.2447,-0.0932,0.3805,0.3961,0.0453,0.3668,0.4283,-0.0815,0.3191,0.3371,-0.0075,-0.019,0.1348,0.1309,-0.0819,0.0929,0.1331,-0.1097,-0.026,0.0965,-0.1462,-0.0017,0.1409
"Total Use",-0.0387,0.0884,-0.3405,0.6837,0.93,0.588,1,0.0925,0.1164,0.028,0.0505,0.2155,0.1877,0.0701,0.1029,0.0012,-0.048,0.0035,0.05,0.1025,-0.0201,-0.1217,0.1849,-0.0783,-0.2018,-0.041,-0.0838,-0.0429,0.0107,-0.0575,-0.0705
"MLVS Incorrect",-0.1811,-0.1332,-0.2676,0.3239,0.1382,0.4037,0.0925,1,0.1678,-0.59,0.5552,0.1654,-0.394,0.5227,0.2644,-0.3909,0.5155,0.2719,-0.2579,-0.0235,-0.0451,-0.0132,-0.0556,-0.0423,0.0111,0.2057,0.0551,-0.1741,0.0684,-0.0088,-0.076
"MLVS Correct",-0.3636,-0.362,-0.2886,0.2316,0.2456,0.2447,0.1164,0.1678,1,0.697,0.1629,0.6478,0.5526,-0.0093,0.4628,0.3781,0.0242,0.5211,0.4461,0.1476,0.121,-0.0513,0.3159,0.0596,-0.1993,0.0874,0.1898,0.1033,0.1329,0.1689,0.0465
"MLVS Contrast",-0.1661,-0.1996,-0.0417,-0.046,0.1006,-0.0932,0.028,-0.59,0.697,1,-0.2705,0.4102,0.7392,-0.3878,0.1867,0.5941,-0.3552,0.229,0.553,0.138,0.132,-0.0324,0.2991,0.0796,-0.1713,-0.078,0.1153,0.2113,0.0591,0.1448,0.0933
