"","NM","NM_full","Total_Use_Voxels","Marijuana Use","Drug Use","Alcohol Use","Total Use","MVSL_Incorrect","MVSL_Correct","MVSL_avg","MVSL_Contrast","MVSR_Incorrect","MVSR_Correct","MVSR_avg","MVSR_Contrast","SVSL_Incorrect","SVSL_Correct","SVSL_avg","SVSL_Contrast","SVSR_Incorrect","SVSR_Correct","SVSR_avg","SVSR_Contrast","SDSL_Incorrect","SDSL_Correct","SDSL_avg","SDSL_Contrast","SDSR_Incorrect","SDSR_Correct","SDSR_avg","SDSR_Contrast","MDSL_Incorrect","MDSL_Correct","MDSL_avg","MDSL_Contrast","MDSR_Incorrect","MDSR_Correct","MDSR_avg","MDSR_Contrast","VSL","VSR","DSL","DSR"
"NM",NA,8.65973959207622e-14,8.49756129905899e-08,0.0397750071668361,0.0983334379675345,0.24017459003644,0.0777197528950972,0.445643594904625,0.0326061765254555,0.0510125657981648,0.250318363016674,0.16547626053532,0.0288381161761229,0.0416759084645439,0.350973239922832,0.483036250722084,0.722960588559744,0.787366225081868,0.308905996744895,0.371505558036865,0.324096913467528,0.211172263963577,0.960562543909418,0.361819761755799,0.711419204283779,0.466757867973417,0.526116492965703,0.843915029896313,0.973266745757557,0.928647853126052,0.820256045913488,0.857075155489201,0.0599125880504916,0.326098142572154,0.206798951602674,0.968138305395397,0.167966245574167,0.453879365430833,0.200628052691167,0.29129774707681,0.0251387944501342,0.960872087289632,0.742393442308895
"NM_full",8.65973959207622e-14,NA,1.66089364483923e-13,0.0136250794981796,0.0281044677751869,0.138043756769586,0.0271876149765893,0.297710675185804,0.0317717281184278,0.0320501516629295,0.340414318417559,0.157275341367104,0.0360628353642691,0.0454065010240037,0.41585317791494,0.591026027029989,0.817516982320393,0.819215305181458,0.457051945075841,0.273249135156259,0.314917382316558,0.161242194076777,0.928897711025385,0.834967183430161,0.780587130842321,0.975152586708959,0.593411137341744,0.951651106048845,0.792643548995421,0.849412359435088,0.829802826871646,0.468646128173075,0.030766515637711,0.138059528488054,0.406561542656872,0.86732139533709,0.119776427520909,0.329441131089072,0.219556532792367,0.229239238624484,0.0206317279659145,0.393589996372032,0.504260545801855
"Total_Use_Voxels",8.49756129905899e-08,1.66089364483923e-13,NA,1.22320649800223e-05,9.90219236354228e-05,0.000736316800098669,1.2135901303445e-05,0.120105487791074,0.092678389353309,0.031421632687993,0.812032177512382,0.139047789111404,0.0272477732041181,0.0355005233884245,0.388833000996038,0.584633061794377,0.813741965590126,0.816524242605448,0.448837793766701,0.480562307162472,0.369833762771429,0.287791630898514,0.898900344176728,0.689705800504987,0.846359385742417,0.900482118788365,0.509016947954741,0.80949271228274,0.922596915703685,0.939198208251266,0.736186099081958,0.269747401744151,0.0436381733910913,0.0919589391102773,0.766971719650652,0.853012212691373,0.286318580638139,0.474240995761683,0.437987470171065,0.228360050768976,0.0307778039454816,0.393824140770436,0.7478853708763
"Marijuana Use",0.0397750071668361,0.0136250794981796,1.22320649800223e-05,NA,2.05618975179789e-08,1.20999590547122e-06,3.99680288865056e-15,0.0576744314294522,0.180757037309529,0.0339520623494769,0.793153579838387,0.187010093077814,0.0182526501878371,0.0359344827813568,0.238341270446823,0.519533262871053,0.908226197955182,0.719913971203846,0.44903123264949,0.770098736034923,0.418247114326336,0.468470122048489,0.703723328681222,0.178132939132483,0.509238568396404,0.255659146687429,0.420062163327803,0.442843160760173,0.655042245418314,0.488700923388883,0.778952575550927,0.0780420086710434,0.141911735571076,0.0595105524946447,0.403415280595064,0.266454893755224,0.657194465275366,0.350946515395004,0.498483896849224,0.273877879823107,0.0536835244215816,0.796455409384712,0.964843977303904
"Drug Use",0.0983334379675345,0.0281044677751869,9.90219236354228e-05,2.05618975179789e-08,NA,3.31653997451831e-05,4.69138061731655e-11,0.428391186575803,0.154933289860584,0.139262633363728,0.56521830804628,0.432345893349928,0.0430898233404053,0.109606588930335,0.163693815386592,0.760642919865044,0.983942061400918,0.834242336696524,0.767427881207367,0.173225453105996,0.945498854761677,0.388906258065015,0.27161348229334,0.57479315367591,0.549772815753431,0.515575890919475,0.998162925368956,0.98893571057678,0.761379267703261,0.850835579408315,0.761721443392295,0.651505957395558,0.20913290497898,0.37466978567742,0.640043360107294,0.78054902989199,0.601915908114242,0.901106296413785,0.456859212818527,0.268876727432539,0.0947134207100779,0.960112127450311,0.935811369915242
"Alcohol Use",0.24017459003644,0.138043756769586,0.000736316800098669,1.20999590547122e-06,3.31653997451831e-05,NA,3.95239396766556e-14,0.0161794574157466,0.156515505389189,0.0125581905048184,0.594292982691973,0.024130639118213,0.0184991255002849,0.00845940438902826,0.796302524572542,0.913947921830958,0.440234208969101,0.738426251738588,0.453672595623766,0.639996534110499,0.595734784037071,0.974237571865281,0.445836841727044,0.530557105901067,0.882341031762299,0.658077203667583,0.581252583574308,0.402039353091348,0.992121116891131,0.6382610884716,0.419394126776434,0.0302050124935667,0.0102566015653185,0.00709721479414593,0.641433003792494,0.0617351909573296,0.0477069011458493,0.021706600177188,0.966060018744634,0.0666811049036207,0.0682788889389039,0.25036805842388,0.414778649286892
"Total Use",0.0777197528950972,0.0271876149765893,1.2135901303445e-05,3.99680288865056e-15,4.69138061731655e-11,3.95239396766556e-14,NA,0.0393988429907581,0.121763241500758,0.0174127361694154,0.836363319679012,0.078019146673723,0.0106718339807919,0.013679589911876,0.355998592373591,0.824995702804973,0.680245353219132,0.942355818999943,0.569743463404171,0.816968676420045,0.58687351707128,0.609779370348043,0.818920830166052,0.340284177010727,0.635296779941841,0.41849345603849,0.569437273223348,0.488403841023451,0.800243518021339,0.592450191795394,0.681319784369259,0.0708869639443432,0.0367418921442981,0.0270681754673867,0.6733518209642,0.220696696448526,0.221814913168424,0.146883307776048,0.926349228370188,0.117499383473809,0.0417712794073974,0.51549299087655,0.729722682852854
"MVSL_Incorrect",0.445643594904625,0.297710675185804,0.120105487791074,0.0576744314294522,0.428391186575803,0.0161794574157466,0.0393988429907581,NA,0.335322551897923,6.14853265634707e-07,0.000191229695155393,0.000535885831067784,0.342217710171884,0.0176026720818898,0.0191995002009659,0.893232652476972,0.796945511579203,0.823597638214701,0.940187466042268,0.751214911325683,0.809174745109559,0.710862332419889,0.949484624155427,0.235931661667857,0.753229809100232,0.393448411837543,0.317094288242389,0.696426639584872,0.959768294690406,0.851836853035569,0.664498275318849,0.00127605475002279,0.124870183311475,0.00386661905038732,0.0202253199697102,0.0015266703344694,0.114100303934652,0.00434762019005985,0.134726372577384,0.00679821164902661,0.164483001102292,0.0272568083959395,0.10732879917099
"MVSL_Correct",0.0326061765254555,0.0317717281184278,0.092678389353309,0.180757037309529,0.154933289860584,0.156515505389189,0.121763241500758,0.335322551897923,NA,1.13753553243612e-08,3.29852465785763e-06,0.349668939872473,2.58546949423177e-05,0.00473179789060962,0.000576329062450309,0.397390025204506,0.488518334791882,0.358588100365404,0.769782684405031,0.0645196035455282,0.733635892734173,0.145833424106969,0.251011267119997,0.617417351468937,0.274898191354258,0.377654776654005,0.554684896122665,0.446721771497197,0.331965641814741,0.316752647013705,0.790787173643805,0.95788262217182,0.00512152953980127,0.227354124897237,0.0251222916376383,0.890375286263722,0.00132967229393977,0.0697479102580181,0.00723094426779847,4.78535177139694e-05,0.00321703182366839,0.192608926409294,0.0779936874410119
"MVSL_avg",0.0510125657981648,0.0320501516629295,0.031421632687993,0.0339520623494769,0.139262633363728,0.0125581905048184,0.0174127361694154,6.14853265634707e-07,1.13753553243612e-08,NA,0.49340859853998,0.00613260766523371,0.000617180053881672,0.000370050727721338,0.421355286948167,0.6163251821459,0.74908136900238,0.620369283461906,0.803591737847884,0.288683843894709,0.930713611441881,0.443460761109849,0.452713035271578,0.282147101358988,0.342824738898098,0.254232700140997,0.839442225619983,0.4428271107124,0.523664790685069,0.419935838577983,0.934063542250676,0.0653535044496039,0.00330196332287391,0.00858838097638714,0.903017086298686,0.0501056384228238,0.00111838337784098,0.00202495099382949,0.388970275256366,1.53059533491984e-06,0.00331016549859431,0.0221704136727625,0.0246650276536282
