"","NM","NM_full","Total_Use_Voxels","Marijuana Use","Drug Use","Alcohol Use","Total Use","MVSL_Incorrect","MVSL_Correct","MVSL_avg","MVSL_Contrast","MVSR_Incorrect","MVSR_Correct","MVSR_avg","MVSR_Contrast","SVSL_Incorrect","SVSL_Correct","SVSL_avg","SVSL_Contrast","SVSR_Incorrect","SVSR_Correct","SVSR_avg","SVSR_Contrast","SDSL_Incorrect","SDSL_Correct","SDSL_avg","SDSL_Contrast","SDSR_Incorrect","SDSR_Correct","SDSR_avg","SDSR_Contrast","MDSL_Incorrect","MDSL_Correct","MDSL_avg","MDSL_Contrast","MDSR_Incorrect","MDSR_Correct","MDSR_avg","MDSR_Contrast","VSL","VSR","DSL","DSR"
"NM",1,0.9049,0.7654,-0.3492,-0.2839,-0.2038,-0.3021,-0.1332,-0.362,-0.3325,-0.1996,-0.2397,-0.3697,-0.3461,-0.1625,0.1226,-0.0621,0.0473,-0.1771,-0.1558,-0.1717,-0.2167,-0.0087,0.1589,0.0648,0.1271,-0.1109,0.0345,-0.0059,0.0157,-0.0398,-0.0316,-0.3212,-0.171,-0.2187,0.007,-0.2383,-0.1308,-0.2217,-0.1835,-0.3781,-0.0086,-0.0576
"NM_full",0.9049,1,0.9009,-0.4132,-0.3713,-0.2558,-0.3733,-0.1811,-0.3636,-0.3631,-0.1661,-0.2443,-0.3556,-0.3404,-0.142,0.094,-0.0405,0.0401,-0.1299,-0.1904,-0.1749,-0.242,0.0157,0.0365,-0.0488,-0.0055,-0.0934,-0.0106,-0.0461,-0.0333,-0.0377,-0.1266,-0.3657,-0.2558,-0.1448,-0.0293,-0.2679,-0.1698,-0.2129,-0.2086,-0.3898,-0.1488,-0.1167
"Total_Use_Voxels",0.7654,0.9009,1,-0.6668,-0.6103,-0.5437,-0.6669,-0.2676,-0.2886,-0.3643,-0.0417,-0.2552,-0.3732,-0.3566,-0.1503,0.0957,-0.0413,0.0407,-0.1323,-0.1233,-0.1563,-0.1848,-0.0223,0.0699,-0.034,0.0219,-0.1154,0.0423,-0.017,0.0134,-0.059,-0.1918,-0.3431,-0.2892,-0.0519,-0.0325,-0.1854,-0.125,-0.1354,-0.2089,-0.3656,-0.1487,-0.0563
"Marijuana Use",-0.3492,-0.4132,-0.6668,1,0.787,0.7178,0.9219,0.3239,0.2316,0.3594,-0.046,0.2284,0.3969,0.3558,0.2046,-0.1126,0.0202,-0.0628,0.1322,0.0512,0.1413,0.1266,0.0666,-0.2329,-0.1154,-0.1974,0.1407,-0.134,-0.0782,-0.121,0.0492,0.3018,0.2534,0.3217,-0.1458,0.1931,0.0777,0.1625,-0.1183,0.1902,0.3289,0.0452,-0.0077
"Drug Use",-0.2839,-0.3713,-0.6103,0.787,1,0.6412,0.8576,0.1382,0.2456,0.255,0.1006,0.1371,0.3439,0.2752,0.2407,0.0534,0.0035,0.0367,-0.0518,0.2355,-0.012,0.1503,-0.191,-0.0982,-0.1046,-0.1137,-4e-04,-0.0024,-0.0532,-0.033,-0.0531,0.0791,0.2176,0.1548,0.0819,-0.0488,0.0913,0.0218,0.1299,0.1921,0.2869,0.0088,-0.0141
"Alcohol Use",-0.2038,-0.2558,-0.5437,0.7178,0.6412,1,0.9095,0.4037,0.2447,0.4176,-0.0932,0.3805,0.3961,0.4382,0.0453,-0.019,0.1348,0.0585,0.1309,-0.0819,0.0929,0.0057,0.1331,-0.1097,-0.026,-0.0775,0.0965,-0.1462,-0.0017,-0.0823,0.1409,0.3668,0.4283,0.447,-0.0815,0.3191,0.3371,0.3868,-0.0075,0.3135,0.3118,0.1996,0.1423
"Total Use",-0.3021,-0.3733,-0.6669,0.9219,0.8576,0.9095,1,0.3498,0.2665,0.3995,-0.0362,0.3019,0.4263,0.413,0.1608,-0.0388,0.0722,0.0127,0.0995,0.0406,0.0951,0.0893,0.0401,-0.1661,-0.083,-0.1412,0.0995,-0.1211,-0.0444,-0.0937,0.0719,0.309,0.3544,0.3736,-0.0738,0.2123,0.2118,0.2504,-0.0162,0.2695,0.346,0.1137,0.0605
"MVSL_Incorrect",-0.1332,-0.1811,-0.2676,0.3239,0.1382,0.4037,0.3498,1,0.1678,0.731,-0.59,0.5552,0.1654,0.3989,-0.394,-0.0235,-0.0451,-0.0391,-0.0132,-0.0556,-0.0423,-0.065,0.0111,0.2057,0.0551,0.1488,-0.1741,0.0684,-0.0088,0.0328,-0.076,0.5227,0.2644,0.4758,-0.3909,0.5155,0.2719,0.4704,-0.2579,0.4491,0.2402,0.3731,0.2769
"MVSL_Correct",-0.362,-0.3636,-0.2886,0.2316,0.2456,0.2447,0.2665,0.1678,1,0.7954,0.697,0.1629,0.6478,0.4665,0.5526,0.1476,0.121,0.16,-0.0513,0.3159,0.0596,0.251,-0.1993,0.0874,0.1898,0.1538,0.1033,0.1329,0.1689,0.1743,0.0465,-0.0093,0.4628,0.2094,0.3781,0.0242,0.5211,0.3102,0.4461,0.6312,0.484,0.2256,0.3019
"MVSL_avg",-0.3325,-0.3631,-0.3643,0.3594,0.255,0.4176,0.3995,0.731,0.7954,1,0.1197,0.4542,0.5502,0.5682,0.1403,0.0877,0.0561,0.0867,-0.0436,0.1845,0.0152,0.1338,-0.1311,0.187,0.1652,0.198,-0.0355,0.134,0.1115,0.1408,-0.0145,0.315,0.4829,0.4375,0.0214,0.3337,0.5279,0.504,0.1502,0.7131,0.4828,0.3856,0.3792
