Subject,13.Mean_1,13.NZMean_1,13.NZcount_1,13.NZMin_1,13.NZMax_1,16.Mean_1,16.NZMean_1,16.NZcount_1,16.NZMin_1,16.NZMax_1
s3836,0.107923,0.107923,353,-0.286413,0.602432,0.077044,0.077044,353,-0.335021,0.313102
s3845,-0.085684,-0.085684,353,-0.546298,0.515708,0.053681,0.053681,353,-0.370195,0.758984
s3846,-0.127080,-0.127080,353,-0.389188,0.104070,0.109720,0.109720,353,-0.125450,0.375823
s3847,-0.057637,-0.057637,353,-0.343804,0.303934,0.097148,0.097148,353,-0.638683,0.567089
s3848,0.194524,0.194524,353,-0.182616,0.582912,0.210281,0.210281,353,-0.101229,0.598415
s3849,-0.070095,-0.070095,353,-0.473374,0.146422,-0.013250,-0.013250,353,-0.464912,0.392957
s3851,-0.092639,-0.092639,353,-0.281040,0.201255,0.081950,0.081950,353,-0.215957,0.559201
s3852,-0.034381,-0.034381,353,-0.371491,0.390976,0.040021,0.040021,353,-0.253399,0.493945
s3855,-0.034210,-0.034210,353,-0.271720,0.208275,-0.082424,-0.082424,353,-0.340155,0.196267
s3864,-0.016176,-0.016176,353,-0.503133,0.471680,0.117577,0.117577,353,-0.206103,0.695131
s3865,0.063054,0.063054,353,-0.184009,0.493724,0.215258,0.215258,353,-0.102112,0.804956
s3871,-0.331157,-0.331157,353,-0.875152,0.205533,-0.115380,-0.115380,353,-0.597252,0.674037
s3877,0.017904,0.017904,353,-0.389236,0.787368,0.037615,0.037615,353,-0.396480,0.591455
s3880,0.031689,0.031689,353,-0.551493,0.322927,0.055965,0.055965,353,-0.678466,0.386932
s3882,0.091830,0.091830,353,-0.081951,0.436632,0.065917,0.065917,353,-0.146576,0.388868
s3883,-0.053668,-0.053668,353,-0.341953,0.310499,-0.140128,-0.140128,353,-0.550959,0.373273
s3886,0.032372,0.032372,353,-0.208063,0.370397,0.141262,0.141262,353,-0.176762,0.644593
s3887,0.098251,0.098251,353,-0.178168,0.359486,0.047572,0.047572,353,-0.296842,0.383796
s3889,-0.193816,-0.193816,353,-0.588339,0.290103,-0.223865,-0.223865,353,-0.616863,0.180681
s3890,-0.038438,-0.038438,353,-0.390137,0.331852,0.128436,0.128436,353,-0.097272,0.401781
s3891,-0.196561,-0.196561,353,-0.563381,0.184648,-0.163646,-0.163646,353,-0.480229,0.315962
s3892,0.053599,0.053599,353,-0.174651,0.507600,0.073729,0.073729,353,-0.240676,0.692007
s3893,-0.322700,-0.322700,353,-1.178990,-0.089631,-0.120354,-0.120354,353,-0.839919,0.128977
s3895,0.013393,0.013393,353,-0.193509,0.597526,0.151031,0.151031,353,-0.173502,0.918567
s3896,0.049821,0.049821,353,-0.158787,0.418615,0.138498,0.138498,353,-0.207909,0.718723
s3910,0.035945,0.035945,353,-0.306603,0.304901,-0.069071,-0.069071,353,-0.368147,0.286313
s3912,0.016114,0.016114,353,-0.216663,0.392940,0.115694,0.115694,353,-0.155632,0.431279
s3914,-0.161076,-0.161076,353,-0.680536,0.173744,-0.088548,-0.088548,353,-0.690323,0.217864
s3920,0.114172,0.114172,353,-0.231182,0.593354,0.136208,0.136208,353,-0.171989,0.555257
s3967,-0.194250,-0.194250,353,-0.600190,0.164456,0.180185,0.180185,353,-0.152208,0.476365
s3992,0.020549,0.020549,353,-0.303146,0.244327,0.007814,0.007814,353,-0.429106,0.245108
s4017,0.120120,0.120120,353,-0.384362,0.520569,0.165845,0.165845,353,-0.505801,0.664632
s4018,-0.061381,-0.061381,353,-0.469531,0.176686,-0.053993,-0.053993,353,-0.338871,0.188232
s4019,0.018900,0.018900,353,-0.204685,0.291823,-0.079952,-0.079952,353,-0.396862,0.289353
s4020,0.035003,0.035003,353,-0.180050,0.279160,0.029976,0.029976,353,-0.269249,0.371666
