Subject,13.Mean_1,13.NZMean_1,13.NZcount_1,13.NZMin_1,13.NZMax_1,16.Mean_1,16.NZMean_1,16.NZcount_1,16.NZMin_1,16.NZMax_1
s3836,0.050794,0.050794,307,-0.309299,0.482499,0.103228,0.103228,307,-0.321547,0.465427
s3845,0.018767,0.018767,307,-0.268822,0.345512,0.105311,0.105311,307,-0.185180,0.549378
s3846,-0.067715,-0.067715,307,-0.462630,0.185388,0.148752,0.148752,307,-0.087097,0.412341
s3847,0.008639,0.008639,307,-0.266142,0.450594,0.070703,0.070703,307,-0.206993,0.489316
s3848,0.154333,0.154333,307,-0.088298,0.512419,0.171840,0.171840,307,-0.170299,0.488913
s3849,-0.068348,-0.068348,307,-0.246286,0.313656,-0.024538,-0.024538,307,-0.283815,0.488494
s3851,-0.007936,-0.007936,307,-0.187902,0.266572,0.132909,0.132909,307,-0.099583,0.886814
s3852,-0.004823,-0.004823,307,-0.233496,0.444198,0.052284,0.052284,307,-0.214591,0.560262
s3855,-0.075483,-0.075483,307,-0.410025,0.395168,-0.058012,-0.058012,307,-0.355800,0.326325
s3864,-0.043059,-0.043059,307,-0.351058,0.403609,0.094061,0.094061,307,-0.086169,0.564240
s3865,0.046105,0.046105,307,-0.305223,0.318423,0.137603,0.137603,307,-0.085108,0.412878
s3871,-0.255454,-0.255454,307,-0.866686,0.149910,0.008383,0.008383,307,-0.459021,0.417668
s3877,0.046669,0.046669,307,-0.227809,0.566659,0.084153,0.084153,307,-0.203302,0.495933
s3880,0.085344,0.085344,307,-0.216873,0.423938,0.139612,0.139612,307,-0.112408,0.661262
s3882,0.042819,0.042819,307,-0.178745,0.440452,0.079844,0.079844,307,-0.153345,0.296697
s3883,-0.069586,-0.069586,307,-0.287930,0.102870,-0.186363,-0.186363,307,-0.330716,0.061907
s3886,0.036925,0.036925,307,-0.141626,0.281343,0.131714,0.131714,307,-0.042818,0.454163
s3887,0.155243,0.155243,307,-0.177793,0.330234,-0.003085,-0.003085,307,-0.164284,0.222819
s3889,-0.179555,-0.179555,307,-0.437353,0.089733,-0.243644,-0.243644,307,-0.502451,0.029361
s3890,-0.081141,-0.081141,307,-0.400659,0.186308,0.148115,0.148115,307,-0.133491,0.517488
s3891,-0.138915,-0.138915,307,-0.378737,0.128023,-0.101881,-0.101881,307,-0.406290,0.178103
s3892,-0.010195,-0.010195,307,-0.251562,0.246719,-0.006518,-0.006518,307,-0.154196,0.513104
s3893,-0.180978,-0.180978,307,-0.692633,0.167445,0.021331,0.021331,307,-0.448383,0.329384
s3895,0.036182,0.036182,307,-0.237995,0.323109,0.095703,0.095703,307,-0.151317,0.393770
s3896,0.031959,0.031959,307,-0.163339,0.456328,0.161245,0.161245,307,-0.077039,0.620980
s3910,0.022285,0.022285,307,-0.194347,0.330993,-0.123275,-0.123275,307,-0.347210,0.197360
s3912,0.134680,0.134680,307,-0.115255,0.687958,0.194630,0.194630,307,-0.062902,0.645213
s3914,-0.061521,-0.061521,307,-0.311428,0.181237,-0.047422,-0.047422,307,-0.249384,0.205771
s3920,0.138481,0.138481,307,-0.038319,0.428747,0.122512,0.122512,307,-0.042703,0.456354
s3967,-0.154572,-0.154572,307,-0.493380,0.184874,0.156164,0.156164,307,-0.174530,0.601391
s3992,-0.012631,-0.012631,307,-0.286961,0.306843,-0.045735,-0.045735,307,-0.329725,0.247841
s4017,0.135635,0.135635,307,-0.547140,0.542579,0.187549,0.187549,307,-0.564815,0.731364
s4018,-0.161796,-0.161796,307,-0.463485,0.176547,-0.098268,-0.098268,307,-0.424334,0.209997
s4019,0.075648,0.075648,307,-0.319222,0.322913,0.022464,0.022464,307,-0.194684,0.326647
s4020,0.000254,0.000254,307,-0.253156,0.284331,-0.000339,-0.000339,307,-0.405042,0.359328
