Subject,13.Mean_1,13.NZMean_1,13.NZcount_1,13.NZMin_1,13.NZMax_1,16.Mean_1,16.NZMean_1,16.NZcount_1,16.NZMin_1,16.NZMax_1
s3836,0.038215,0.038215,97,-0.192728,0.704030,-0.008404,-0.008404,97,-0.241536,0.833547
s3845,-0.015194,-0.015194,97,-0.489492,0.924614,0.078881,0.078881,97,-0.193419,0.499278
s3846,-0.068329,-0.068329,97,-0.618180,0.444919,0.059101,0.059101,97,-0.561251,0.333353
s3847,-0.094318,-0.094318,97,-0.489477,0.234835,0.123937,0.123937,97,-0.167075,0.686857
s3848,0.091269,0.091269,97,-0.088647,0.485113,0.128255,0.128255,97,-0.135470,0.685936
s3849,-0.109922,-0.109922,97,-0.898501,0.116209,-0.074576,-0.074576,97,-0.609222,0.217935
s3851,-0.005646,-0.005646,97,-0.301094,0.242450,0.072881,0.072881,97,-0.355300,0.349716
s3852,-0.117303,-0.117303,97,-0.393998,0.317121,0.069787,0.069787,97,-0.201454,0.573593
s3855,-0.200172,-0.200172,97,-0.479328,0.048074,-0.187561,-0.187561,97,-0.399247,0.063333
s3864,-0.098692,-0.098692,97,-0.296825,0.105379,-0.052871,-0.052871,97,-0.520224,0.162769
s3865,0.286089,0.286089,97,-0.056481,0.925430,0.128694,0.128694,97,-0.474976,1.001100
s3871,-0.234845,-0.234845,97,-0.709110,0.113713,0.078531,0.078531,97,-0.382457,0.698588
s3877,0.064427,0.064427,97,-0.211957,0.307314,0.101110,0.101110,97,-0.301915,0.373545
s3880,0.017018,0.017018,97,-0.246093,0.208346,0.026889,0.026889,97,-0.267218,0.258662
s3882,0.035961,0.035961,97,-0.075207,0.218904,0.210014,0.210014,97,0.024942,0.323760
s3883,-0.260758,-0.260758,97,-0.553761,0.040058,-0.123182,-0.123182,97,-0.393341,0.214409
s3886,0.043870,0.043870,97,-0.252194,0.508179,0.220514,0.220514,97,-0.045008,0.924556
s3887,0.149598,0.149598,97,-0.078198,0.359112,0.110315,0.110315,97,-0.082043,0.353065
s3889,-0.214408,-0.214408,97,-0.471125,0.214336,-0.206834,-0.206834,97,-0.404566,0.036037
s3890,-0.183351,-0.183351,97,-0.778652,0.457849,0.047473,0.047473,97,-0.400282,0.561737
s3891,-0.166701,-0.166701,97,-0.354435,0.246011,-0.195438,-0.195438,97,-0.344158,0.303210
s3892,0.025677,0.025677,97,-0.168328,0.257669,0.080515,0.080515,97,-0.145820,0.225838
s3893,-0.083612,-0.083612,97,-0.342585,0.316103,-0.007605,-0.007605,97,-0.176926,0.266699
s3895,0.066763,0.066763,97,-0.121878,0.267083,0.058187,0.058187,97,-0.088592,0.386202
s3896,0.059306,0.059306,97,-0.267540,0.277774,0.162880,0.162880,97,-0.186059,0.860471
s3910,-0.046586,-0.046586,97,-0.357924,0.258948,-0.114108,-0.114108,97,-0.406171,0.330395
s3912,-0.143548,-0.143548,97,-0.408534,0.066255,0.063961,0.063961,97,-0.129629,0.300238
s3914,-0.053200,-0.053200,97,-0.332489,0.413863,0.083458,0.083458,97,-0.246500,0.411419
s3920,0.179600,0.179600,97,-0.319032,0.682036,0.016688,0.016688,97,-0.280172,0.418126
s3967,-0.173718,-0.173718,97,-0.535342,0.294952,0.151338,0.151338,97,-0.396749,0.464257
s3992,0.040142,0.040142,97,-0.223373,0.529697,0.026144,0.026144,97,-0.388922,0.376720
s4017,0.261207,0.261207,97,-0.160027,1.270414,-0.040545,-0.040545,97,-0.610823,0.460546
s4018,-0.123200,-0.123200,97,-0.494985,0.123221,-0.068016,-0.068016,97,-0.281406,0.134832
s4019,0.038028,0.038028,97,-0.165602,0.159715,0.016509,0.016509,97,-0.199976,0.246505
s4020,-0.026162,-0.026162,97,-0.209161,0.114731,0.016882,0.016882,97,-0.297312,0.236272
