Subject,13.Mean_2,13.NZMean_2,13.NZcount_2,13.NZMin_2,13.NZMax_2,16.Mean_2,16.NZMean_2,16.NZcount_2,16.NZMin_2,16.NZMax_2
s3836,0.014739,0.014739,90,-0.148069,0.279336,-0.048594,-0.048594,90,-0.369979,0.258325
s3845,0.142753,0.142753,90,-0.233888,1.023001,0.140357,0.140357,90,-0.342978,0.517741
s3846,-0.181476,-0.181476,90,-0.549419,0.111071,0.207646,0.207646,90,-0.148469,0.634113
s3847,-0.072406,-0.072406,90,-0.714358,0.317865,0.239050,0.239050,90,-0.466419,0.825158
s3848,0.118052,0.118052,90,-0.309240,0.433550,0.175742,0.175742,90,-0.267482,0.445015
s3849,0.012394,0.012394,90,-0.269266,0.298833,-0.011429,-0.011429,90,-0.398443,0.307050
s3851,0.030953,0.030953,90,-0.126220,0.392423,0.197860,0.197860,90,0.027815,0.632010
s3852,-0.035752,-0.035752,90,-0.199573,0.691369,0.039681,0.039681,90,-0.313919,0.760826
s3855,-0.094769,-0.094769,90,-0.396427,0.207714,0.033930,0.033930,90,-0.411523,0.345501
s3864,0.067863,0.067863,90,-0.355179,0.344855,0.127060,0.127060,90,-0.084181,0.285922
s3865,0.067775,0.067775,90,-0.379308,0.390467,0.036677,0.036677,90,-0.243001,0.430190
s3871,-0.132726,-0.132726,90,-0.600686,0.229372,0.112214,0.112214,90,-0.246427,0.732970
s3877,0.020008,0.020008,90,-0.205757,0.231118,0.195395,0.195395,90,-0.036764,0.424780
s3880,-0.099944,-0.099944,90,-0.343847,0.401201,-0.047113,-0.047113,90,-0.273448,0.515374
s3882,0.098876,0.098876,90,-0.122956,0.275463,0.143349,0.143349,90,-0.075204,0.378648
s3883,-0.094881,-0.094881,90,-0.396768,0.151517,-0.084976,-0.084976,90,-0.453029,0.205783
s3886,0.008436,0.008436,90,-0.231263,0.244157,0.212277,0.212277,90,-0.022861,0.687370
s3887,0.273549,0.273549,90,0.049031,0.676335,0.095028,0.095028,90,-0.113461,0.434425
s3889,-0.047932,-0.047932,90,-0.375983,0.221206,-0.108635,-0.108635,90,-0.564487,0.189666
s3890,-0.047180,-0.047180,90,-0.500806,0.421667,0.280910,0.280910,90,-0.060161,0.809706
s3891,-0.088110,-0.088110,90,-0.576108,0.287205,-0.141933,-0.141933,90,-0.445762,0.255645
s3892,0.091490,0.091490,90,-0.362426,0.297902,0.136959,0.136959,90,-0.092230,0.321074
s3893,-0.079240,-0.079240,90,-0.419873,0.386212,0.091890,0.091890,90,-0.192070,0.578856
s3895,0.109371,0.109371,90,-0.161729,0.386374,0.089312,0.089312,90,-0.112129,0.355140
s3896,-0.054826,-0.054826,90,-0.547623,0.546076,0.017404,0.017404,90,-0.492671,1.086032
s3910,-0.014816,-0.014816,90,-0.268366,0.302942,-0.128337,-0.128337,90,-0.614947,0.102835
s3912,-0.187551,-0.187551,90,-0.563329,0.163483,0.066268,0.066268,90,-0.205305,0.296798
s3914,0.119044,0.119044,90,-0.137342,0.339247,0.197152,0.197152,90,-0.198187,0.883378
s3920,0.217535,0.217535,90,-0.239330,0.763675,0.183321,0.183321,90,-0.139640,0.839199
s3967,-0.194627,-0.194627,90,-0.472346,0.012104,0.288911,0.288911,90,-0.047954,0.902252
s3992,0.115806,0.115806,90,-0.148438,0.532198,-0.004625,-0.004625,90,-0.210223,0.167158
s4017,0.238627,0.238627,90,-0.236521,0.819015,-0.072653,-0.072653,90,-0.376519,0.522835
s4018,-0.304290,-0.304290,90,-1.325192,0.036895,-0.086795,-0.086795,90,-0.474750,0.125756
s4019,-0.033804,-0.033804,90,-0.320372,0.288418,-0.113780,-0.113780,90,-0.418220,0.151695
s4020,-0.061238,-0.061238,90,-0.289565,0.123399,-0.033007,-0.033007,90,-0.290201,0.217486
