Subject,13.Mean_1,13.NZMean_1,13.NZcount_1,13.NZMin_1,13.NZMax_1,16.Mean_1,16.NZMean_1,16.NZcount_1,16.NZMin_1,16.NZMax_1
s3836,-0.073726,-0.073726,353,-0.392775,0.144186,0.017938,0.017938,353,-0.271593,0.496099
s3845,0.060252,0.060252,353,-0.214881,0.563029,0.193687,0.193687,353,-0.165452,0.526676
s3846,0.005956,0.005956,353,-0.267951,0.207476,-0.019528,-0.019528,353,-0.303602,0.183960
s3847,0.055054,0.055054,353,-0.356823,0.433803,0.077167,0.077167,353,-0.364919,0.504453
s3848,0.087134,0.087134,353,-0.289011,0.385940,0.060614,0.060614,353,-0.250072,0.259011
s3849,-0.102829,-0.102829,353,-0.562805,0.269025,-0.005705,-0.005705,353,-0.419339,0.445230
s3851,-0.024506,-0.024506,353,-0.555747,0.676569,0.003440,0.003440,353,-0.391519,0.865458
s3852,0.087328,0.087328,353,-0.127518,0.615788,0.030274,0.030274,353,-0.246444,0.474236
s3855,0.008716,0.008716,353,-0.201195,0.253416,0.010061,0.010061,353,-0.249097,0.224888
s3864,-0.315759,-0.315759,353,-1.119642,0.072262,-0.053365,-0.053365,353,-0.466552,0.179726
s3865,-0.134940,-0.134940,353,-0.550124,0.197141,-0.077330,-0.077330,353,-0.452532,0.387802
s3871,-0.283072,-0.283072,353,-0.707799,0.114425,0.093473,0.093473,353,-0.333150,0.788712
s3877,-0.024699,-0.024699,353,-0.257998,0.277030,0.011417,0.011417,353,-0.445421,0.265714
s3880,0.063927,0.063927,353,-0.368010,0.345412,0.229645,0.229645,353,-0.187765,0.487096
s3882,-0.107344,-0.107344,353,-0.272225,0.090904,-0.068446,-0.068446,353,-0.345649,0.217563
s3883,-0.093716,-0.093716,353,-0.747407,0.099472,-0.042680,-0.042680,353,-0.605876,0.133264
s3886,0.068990,0.068990,353,-0.263773,0.338728,-0.038387,-0.038387,353,-0.291712,0.241270
s3887,0.063426,0.063426,353,-0.170517,0.269120,0.051610,0.051610,353,-0.223540,0.298160
s3889,-0.006289,-0.006289,353,-0.396880,0.259329,0.054893,0.054893,353,-0.396238,0.385303
s3890,0.062327,0.062327,353,-0.159774,0.323064,0.065765,0.065765,353,-0.210242,0.362439
s3891,-0.193711,-0.193711,353,-0.959302,0.293544,-0.072621,-0.072621,353,-0.388220,0.109812
s3892,0.029855,0.029855,353,-0.162195,0.331098,0.089883,0.089883,353,-0.205238,0.489703
s3893,-0.162569,-0.162569,353,-0.978101,0.157377,-0.043260,-0.043260,353,-0.566283,0.468111
s3895,-0.127494,-0.127494,353,-0.349945,0.034369,-0.004629,-0.004629,353,-0.232311,0.184748
s3896,0.020195,0.020195,353,-0.193793,0.251077,0.088067,0.088067,353,-0.203011,0.452560
s3910,-0.151208,-0.151208,353,-0.559882,0.191129,-0.061437,-0.061437,353,-0.322577,0.204449
s3912,0.126032,0.126032,353,-0.123830,0.446768,0.028617,0.028617,353,-0.318289,0.395393
s3914,-0.158519,-0.158519,353,-0.624407,0.183575,0.021512,0.021512,353,-0.531715,0.265251
s3920,-0.081018,-0.081018,353,-0.259961,0.110119,0.027618,0.027618,353,-0.320390,0.329043
s3967,-0.010367,-0.010367,353,-0.282237,0.213589,0.005223,0.005223,353,-0.370797,0.412332
s3992,-0.003374,-0.003374,353,-0.214012,0.274525,0.056363,0.056363,353,-0.273342,0.423892
s4017,-0.164432,-0.164432,353,-0.645226,0.134133,-0.075205,-0.075205,353,-0.365727,0.402381
s4018,0.116092,0.116092,353,-0.238484,0.471986,-0.038662,-0.038662,353,-0.381513,0.364142
s4019,-0.197286,-0.197286,353,-0.562774,0.044073,-0.165142,-0.165142,353,-0.413011,0.162809
s4020,0.053416,0.053416,353,-0.177556,0.300394,0.132944,0.132944,353,-0.151537,0.372103
