Subject,13.Mean_1,13.NZMean_1,13.NZcount_1,13.NZMin_1,13.NZMax_1,16.Mean_1,16.NZMean_1,16.NZcount_1,16.NZMin_1,16.NZMax_1
s3836,-0.059028,-0.059028,307,-0.339016,0.232182,0.069194,0.069194,307,-0.277760,0.418807
s3845,-0.023734,-0.023734,307,-0.339955,0.712036,0.092761,0.092761,307,-0.176266,0.686309
s3846,-0.036502,-0.036502,307,-0.226462,0.178174,-0.064127,-0.064127,307,-0.257758,0.183059
s3847,0.100020,0.100020,307,-0.161906,0.631293,0.093732,0.093732,307,-0.321388,0.442006
s3848,0.003918,0.003918,307,-0.424454,0.321150,-0.014875,-0.014875,307,-0.430221,0.265308
s3849,-0.092687,-0.092687,307,-0.353671,0.124030,0.078172,0.078172,307,-0.282210,0.427486
s3851,0.035227,0.035227,307,-0.302416,0.838374,0.100791,0.100791,307,-0.171321,0.887160
s3852,0.044574,0.044574,307,-0.211410,0.280858,0.073448,0.073448,307,-0.103107,0.235258
s3855,0.065639,0.065639,307,-0.235559,0.337320,0.030690,0.030690,307,-0.230354,0.259178
s3864,-0.159629,-0.159629,307,-0.794915,0.081201,-0.020787,-0.020787,307,-0.472000,0.219829
s3865,-0.138872,-0.138872,307,-0.350331,0.056575,-0.024535,-0.024535,307,-0.262473,0.225969
s3871,-0.176436,-0.176436,307,-0.553692,0.134492,0.111769,0.111769,307,-0.258689,0.714644
s3877,0.050214,0.050214,307,-0.230611,0.242649,0.058465,0.058465,307,-0.157191,0.216685
s3880,0.063674,0.063674,307,-0.193044,0.406263,0.238192,0.238192,307,-0.143204,0.511561
s3882,-0.051286,-0.051286,307,-0.243511,0.110121,0.019552,0.019552,307,-0.175251,0.328990
s3883,0.014598,0.014598,307,-0.237205,0.215661,0.006697,0.006697,307,-0.206119,0.233165
s3886,0.085816,0.085816,307,-0.104057,0.393556,0.004167,0.004167,307,-0.272643,0.250776
s3887,0.026166,0.026166,307,-0.243049,0.286373,0.080058,0.080058,307,-0.188621,0.373638
s3889,-0.027833,-0.027833,307,-0.294740,0.256171,-0.000271,-0.000271,307,-0.350768,0.266962
s3890,0.030948,0.030948,307,-0.145327,0.305681,0.060911,0.060911,307,-0.194967,0.323356
s3891,-0.070663,-0.070663,307,-0.291838,0.143700,-0.072345,-0.072345,307,-0.326760,0.119385
s3892,-0.017505,-0.017505,307,-0.224937,0.223908,0.048473,0.048473,307,-0.254934,0.312388
s3893,-0.040952,-0.040952,307,-0.371119,0.219053,0.016599,0.016599,307,-0.269818,0.438635
s3895,-0.074639,-0.074639,307,-0.478354,0.135363,0.040100,0.040100,307,-0.237898,0.301633
s3896,0.083649,0.083649,307,-0.135567,0.279659,0.192593,0.192593,307,-0.000723,0.549388
s3910,-0.138921,-0.138921,307,-0.374278,0.069920,-0.065241,-0.065241,307,-0.281145,0.194869
s3912,-0.033775,-0.033775,307,-0.263815,0.281311,-0.019386,-0.019386,307,-0.189824,0.201639
s3914,-0.092041,-0.092041,307,-0.532818,0.201948,0.085773,0.085773,307,-0.161467,0.281069
s3920,-0.069511,-0.069511,307,-0.260644,0.116455,0.068508,0.068508,307,-0.131661,0.273910
s3967,-0.023717,-0.023717,307,-0.279761,0.442682,0.000472,0.000472,307,-0.258141,0.336765
s3992,-0.051005,-0.051005,307,-0.338398,0.229704,0.078110,0.078110,307,-0.196785,0.383146
s4017,-0.100003,-0.100003,307,-0.543975,0.194771,0.037670,0.037670,307,-0.254115,0.416182
s4018,0.126648,0.126648,307,-0.248175,0.370343,0.062628,0.062628,307,-0.261001,0.313759
s4019,-0.081860,-0.081860,307,-0.338420,0.148368,-0.055270,-0.055270,307,-0.276077,0.161507
s4020,0.068223,0.068223,307,-0.145391,0.291700,0.190882,0.190882,307,-0.027694,0.371393
