Subject,13.Mean_1,13.NZMean_1,13.NZcount_1,13.NZMin_1,13.NZMax_1,16.Mean_1,16.NZMean_1,16.NZcount_1,16.NZMin_1,16.NZMax_1
s3836,-0.066542,-0.066542,97,-0.553139,0.288103,-0.159458,-0.159458,97,-0.514948,0.054086
s3845,-0.044829,-0.044829,97,-0.445272,0.210182,0.220913,0.220913,97,0.038499,0.514259
s3846,-0.094667,-0.094667,97,-0.482050,0.193815,-0.227153,-0.227153,97,-0.724029,0.060166
s3847,-0.078689,-0.078689,97,-1.106294,0.303552,0.194741,0.194741,97,-0.652990,0.547284
s3848,-0.258296,-0.258296,97,-0.716449,0.015606,-0.079472,-0.079472,97,-0.366349,0.292715
s3849,-0.163395,-0.163395,97,-0.564969,0.101335,0.066807,0.066807,97,-0.227866,0.408817
s3851,-0.131421,-0.131421,97,-0.482381,0.078937,-0.049435,-0.049435,97,-0.367740,0.274178
s3852,0.083091,0.083091,97,-0.140411,0.503160,0.053992,0.053992,97,-0.383002,0.325608
s3855,0.049107,0.049107,97,-0.262133,0.347069,0.028681,0.028681,97,-0.176571,0.193936
s3864,-0.055463,-0.055463,97,-0.301327,0.183126,0.153738,0.153738,97,-0.156511,0.491611
s3865,-0.138240,-0.138240,97,-0.464003,0.106412,-0.067613,-0.067613,97,-0.537556,0.633728
s3871,-0.388396,-0.388396,97,-0.599269,-0.175617,0.128130,0.128130,97,-0.092338,0.366289
s3877,-0.111120,-0.111120,97,-0.375154,0.121112,0.097069,0.097069,97,-0.188476,0.299796
s3880,0.009832,0.009832,97,-0.244800,0.341966,0.060309,0.060309,97,-0.447496,0.392463
s3882,-0.052725,-0.052725,97,-0.236838,0.097972,0.009394,0.009394,97,-0.186767,0.188569
s3883,-0.301781,-0.301781,97,-0.509604,-0.105213,-0.101994,-0.101994,97,-0.336944,0.195452
s3886,0.052864,0.052864,97,-0.310361,0.278518,0.006227,0.006227,97,-0.237781,0.267140
s3887,-0.083401,-0.083401,97,-0.422682,0.073251,-0.035672,-0.035672,97,-0.768793,0.246834
s3889,-0.005657,-0.005657,97,-0.232932,0.710948,-0.014454,-0.014454,97,-0.223157,0.418330
s3890,0.147997,0.147997,97,-0.287796,0.433762,-0.037810,-0.037810,97,-0.499717,0.286198
s3891,-0.126618,-0.126618,97,-0.424601,0.184615,0.003580,0.003580,97,-0.241649,0.407863
s3892,-0.064061,-0.064061,97,-0.319624,0.057922,0.080751,0.080751,97,-0.206148,0.269577
s3893,-0.134769,-0.134769,97,-0.536324,0.109103,-0.049350,-0.049350,97,-0.310829,0.283790
s3895,-0.180168,-0.180168,97,-0.474373,0.068473,0.075980,0.075980,97,-0.355222,0.455300
s3896,-0.066739,-0.066739,97,-0.502987,0.317312,0.293433,0.293433,97,0.051202,0.604513
s3910,-0.123791,-0.123791,97,-0.411557,0.358023,-0.000621,-0.000621,97,-0.245368,0.500806
s3912,-0.089329,-0.089329,97,-0.795602,0.292287,0.039376,0.039376,97,-0.766513,0.309537
s3914,-0.114851,-0.114851,97,-0.493201,0.288306,0.023073,0.023073,97,-0.318204,0.218322
s3920,-0.217475,-0.217475,97,-0.438353,0.091019,0.038468,0.038468,97,-0.236590,0.237696
s3967,-0.272346,-0.272346,97,-1.285039,0.049724,-0.043165,-0.043165,97,-0.305719,0.151702
s3992,0.012302,0.012302,97,-0.296853,0.391717,0.130151,0.130151,97,-0.306505,0.441407
s4017,-0.123058,-0.123058,97,-0.487054,0.141967,0.301156,0.301156,97,-0.134134,1.299482
s4018,0.016860,0.016860,97,-0.569507,0.266603,-0.166148,-0.166148,97,-0.627136,0.140572
s4019,-0.209552,-0.209552,97,-0.468972,-0.050675,-0.260415,-0.260415,97,-0.574368,-0.072039
s4020,0.103800,0.103800,97,-0.214718,0.287677,0.214334,0.214334,97,-0.029720,0.459400
